date,notifications,cases_directly_averted_perfect,cases_directly_averted_80_percent,cases_directly_averted_60_percent,cases_directly_averted_40_percent,cases_directly_averted_20_percent
2021-11-24,32811,504.1621298352019,403.3297038681615,302.4972779011211,201.66485193408076,100.83242596704038
2021-11-25,33846,530.7103391917067,424.5682713533654,318.426203515024,212.2841356766827,106.14206783834135
2021-11-26,30154,477.0468356290445,381.6374685032356,286.2281013774267,190.8187342516178,95.4093671258089
2021-11-27,28391,446.83663521861826,357.46930817489465,268.10198113117093,178.73465408744732,89.36732704372366
2021-11-28,28857,445.5112958003739,356.4090366402991,267.3067774802243,178.20451832014956,89.10225916007478
2021-11-29,30150,454.5827402889383,363.66619223115066,272.749644173363,181.83309611557533,90.91654805778767
2021-11-30,37302,552.9478729143618,442.3582983314895,331.7687237486171,221.17914916574475,110.58957458287237
2021-12-01,40988,607.0677630069158,485.6542104055327,364.24065780414946,242.82710520276635,121.41355260138317
2021-12-02,40157,608.4461754049829,486.7569403239863,365.06770524298975,243.37847016199316,121.68923508099658
2021-12-03,35403,564.9517009352991,451.96136074823926,338.97102056117944,225.98068037411963,112.99034018705981
2021-12-04,33630,583.435161082664,466.7481288661312,350.06109664959837,233.3740644330656,116.6870322165328
2021-12-05,34565,671.2132982242217,536.9706385793774,402.72797893453304,268.4853192896887,134.24265964484434
2021-12-06,37916,836.4212395055673,669.1369916044539,501.85274370334037,334.56849580222695,167.28424790111347
2021-12-07,41009,1029.9057320317697,823.9245856254158,617.9434392190618,411.9622928127079,205.98114640635396
2021-12-08,45346,1290.653707632011,1032.522966105609,774.3922245792065,516.2614830528045,258.13074152640223
2021-12-09,50709,1622.2902651485174,1297.832212118814,973.3741590891104,648.916106059407,324.4580530297035
2021-12-10,48553,1723.895922002697,1379.1167376021576,1034.3375532016182,689.5583688010788,344.7791844005394
2021-12-11,50935,1967.1859565194975,1573.748765215598,1180.3115739116984,786.874382607799,393.4371913038995
